127.0.0.1 - - [14/Apr/2022:09:23:45 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [14/Apr/2022:09:23:46 +0900] "GET /WebApp07/SendAndReceive07.jsp HTTP/1.1" 200 3393
0:0:0:0:0:0:0:1 - - [14/Apr/2022:09:23:46 +0900] "GET /WebApp07/css/main.css HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [14/Apr/2022:09:23:47 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [14/Apr/2022:09:23:49 +0900] "POST /WebApp07/SendAndReceive07.jsp HTTP/1.1" 200 3393
0:0:0:0:0:0:0:1 - - [14/Apr/2022:09:23:50 +0900] "POST /WebApp07/SendAndReceive07.jsp HTTP/1.1" 200 3393
0:0:0:0:0:0:0:1 - - [14/Apr/2022:09:24:33 +0900] "POST /WebApp07/SendAndReceive07.jsp HTTP/1.1" 200 3714
0:0:0:0:0:0:0:1 - - [14/Apr/2022:09:24:36 +0900] "GET /WebApp07/SendAndReceive07.jsp HTTP/1.1" 200 3734
0:0:0:0:0:0:0:1 - - [14/Apr/2022:09:24:40 +0900] "POST /WebApp07/SendAndReceive07.jsp HTTP/1.1" 200 3734
0:0:0:0:0:0:0:1 - - [14/Apr/2022:09:24:42 +0900] "POST /WebApp07/SendAndReceive07.jsp HTTP/1.1" 200 3734
0:0:0:0:0:0:0:1 - - [14/Apr/2022:09:43:36 +0900] "POST /WebApp07/SendAndReceive07.jsp HTTP/1.1" 200 3939
0:0:0:0:0:0:0:1 - - [14/Apr/2022:09:44:06 +0900] "POST /WebApp07/SendAndReceive07.jsp HTTP/1.1" 200 3945
0:0:0:0:0:0:0:1 - - [14/Apr/2022:09:44:06 +0900] "GET /WebApp07/css/main.css HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [14/Apr/2022:09:45:35 +0900] "POST /WebApp07/SendAndReceive07.jsp HTTP/1.1" 200 3945
0:0:0:0:0:0:0:1 - - [14/Apr/2022:09:45:56 +0900] "POST /WebApp07/SendAndReceive07.jsp HTTP/1.1" 200 3946
0:0:0:0:0:0:0:1 - - [14/Apr/2022:09:48:24 +0900] "POST /WebApp07/SendAndReceive07.jsp HTTP/1.1" 200 4282
0:0:0:0:0:0:0:1 - - [14/Apr/2022:09:48:26 +0900] "POST /WebApp07/SendAndReceive07.jsp HTTP/1.1" 200 4291
0:0:0:0:0:0:0:1 - - [14/Apr/2022:09:48:36 +0900] "POST /WebApp07/SendAndReceive07.jsp HTTP/1.1" 200 4260
0:0:0:0:0:0:0:1 - - [14/Apr/2022:09:49:00 +0900] "POST /WebApp07/SendAndReceive07.jsp HTTP/1.1" 200 4291
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:15:57 +0900] "POST /WebApp07/SendAndReceive07.jsp HTTP/1.1" 200 4291
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:16:00 +0900] "POST /WebApp07/SendAndReceive07.jsp HTTP/1.1" 200 4291
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:16:01 +0900] "POST /WebApp07/SendAndReceive07.jsp HTTP/1.1" 200 4291
